time,x,y,z,qx,qy,qz,qw
0.0047082999954000115,-1.4835965633392334,1.0079538822174072,0.20205023884773254,0.00039172079414129257,0.015905311331152916,-0.003308094572275877,0.9998680353164673
0.008904800051823258,-1.4836032390594482,1.0079699754714966,0.20205925405025482,0.00032583449501544237,0.016006650403141975,-0.0033129348885267973,0.9998663663864136
0.012805000063963234,-1.4836033582687378,1.0079729557037354,0.20206135511398315,0.00033171047107316554,0.015918467193841934,-0.0033172096591442823,0.9998677968978882
0.016408300027251244,-1.4836044311523438,1.007978916168213,0.20206305384635925,0.00040568169788457453,0.015814293175935745,-0.0033086654730141163,0.9998694658279419
0.020304600009694695,-1.4836039543151855,1.0079755783081055,0.2020498663187027,0.00032902456587180495,0.01575537957251072,-0.003267940366640687,0.9998705387115479
0.02466720005031675,-1.4836022853851318,1.0079829692840576,0.20203448832035065,0.0003556710435077548,0.015609083697199821,-0.0032374286092817783,0.9998729228973389
0.02928560005966574,-1.4836069345474243,1.0079624652862549,0.20200449228286743,0.0003802127903327346,0.015460393391549587,-0.003203707979992032,0.9998753070831299
0.0325654000043869,-1.4836046695709229,1.0079407691955566,0.2019924372434616,0.00026955752400681376,0.015427629463374615,-0.0032394519075751305,0.9998757839202881
0.03552749997470528,-1.4835797548294067,1.0079513788223267,0.20197729766368866,0.00028907458181492984,0.015251689590513706,-0.003035633359104395,0.9998791217803955
0.03926450002472848,-1.4835963249206543,1.0079550743103027,0.2019723504781723,0.00032384798396378756,0.015073021873831749,-0.0030883769504725933,0.9998816251754761
0.0423832000233233,-1.4835963249206543,1.0079550743103027,0.2019723504781723,0.00032384798396378756,0.015073021873831749,-0.0030883769504725933,0.9998816251754761
0.05023100005928427,-1.483573317527771,1.0079634189605713,0.2019813358783722,0.00031732500065118074,0.01538817584514618,-0.003150816773995757,0.9998766183853149
0.055442600045353174,-1.483574390411377,1.0079706907272339,0.20199613273143768,0.0003540875331964344,0.01548170018941164,-0.003046817611902952,0.9998754262924194
0.061022200039587915,-1.4835848808288574,1.0079882144927979,0.20203189551830292,0.00030281179351732135,0.015798699110746384,-0.0033110342919826508,0.999869704246521
0.06439139996655285,-1.4835859537124634,1.0079885721206665,0.20204277336597443,0.00029867986449971795,0.015777695924043655,-0.0032787974923849106,0.9998701810836792
0.06837150000501424,-1.483580231666565,1.0079843997955322,0.2020491063594818,0.0002486894663888961,0.01607409678399563,-0.003314351662993431,0.9998652935028076
0.07161119999364018,-1.483580231666565,1.0079843997955322,0.2020491063594818,0.0002486894663888961,0.01607409678399563,-0.003314351662993431,0.9998652935028076
0.07998020004015416,-1.4835782051086426,1.0079567432403564,0.20205077528953552,0.0005374000174924731,0.015874763950705528,-0.0032500845845788717,0.999868631362915
0.0850579000543803,-1.4835819005966187,1.0078942775726318,0.20204223692417145,0.0005580832366831601,0.01571464166045189,-0.003267084714025259,0.999871015548706
0.09064730000682175,-1.483579158782959,1.007858157157898,0.20203153789043427,0.0006506250938400626,0.01567198522388935,-0.0032005622051656246,0.9998718500137329
0.09380270005203784,-1.483582854270935,1.0078104734420776,0.20201779901981354,0.0006981300539337099,0.015402179211378098,-0.0030679802875965834,0.9998764991760254
0.0974439000710845,-1.4835869073867798,1.0077776908874512,0.20201468467712402,0.0007883675862103701,0.015316510573029518,-0.0029213386587798595,0.9998781681060791
0.1008741999976337,-1.4835869073867798,1.0077776908874512,0.20201468467712402,0.0007883675862103701,0.015316510573029518,-0.0029213386587798595,0.9998781681060791
0.11311979999300092,-1.4836641550064087,1.0076935291290283,0.2020663172006607,0.0009459028951823711,0.015302561223506927,-0.0028198135551065207,0.9998785257339478
0.11899139999877661,-1.4837619066238403,1.0076324939727783,0.2021341621875763,0.0009624521480873227,0.01536309439688921,-0.0027578496374189854,0.9998778104782104
0.123492700047791,-1.4838286638259888,1.0075981616973877,0.2021619826555252,0.0009219814673997462,0.015499386936426163,-0.002804060699418187,0.999875545501709
0.12762970000039786,-1.4839016199111938,1.0075645446777344,0.20219820737838745,0.0009393610525876284,0.015562376007437706,-0.002808100776746869,0.9998745918273926
0.1319453000323847,-1.483973741531372,1.007531762123108,0.2022407501935959,0.0009887528140097857,0.01560299377888441,-0.0027628361713141203,0.9998739957809448
0.13604859996121377,-1.4840456247329712,1.0074928998947144,0.20227089524269104,0.0009738999651744962,0.015616809017956257,-0.002792740473523736,0.9998737573623657
0.14111480000428855,-1.4841164350509644,1.0074564218521118,0.2022957056760788,0.0009133258135989308,0.01551270205527544,-0.0027892671059817076,0.9998754262924194
0.14768449997063726,-1.4842445850372314,1.0073914527893066,0.20233947038650513,0.0011323053622618318,0.015232263132929802,-0.0026094659697264433,0.9998799562454224
0.1521474999608472,-1.4843043088912964,1.0073543787002563,0.20235399901866913,0.0011402270756661892,0.014991438947618008,-0.0025477325543761253,0.999883770942688
0.15588239999487996,-1.484358310699463,1.0073416233062744,0.20236779749393463,0.0010267565958201885,0.014933820813894272,-0.0024374639615416527,0.9998849630355835
0.15903840004466474,-1.484358310699463,1.0073416233062744,0.20236779749393463,0.0010267565958201885,0.014933820813894272,-0.0024374639615416527,0.9998849630355835
0.164583700010553,-1.4844493865966797,1.0072993040084839,0.20238806307315826,0.0010344941401854157,0.014469488523900509,-0.0020268855150789022,0.9998927116394043
0.17198420001659542,-1.4844931364059448,1.0072840452194214,0.20240837335586548,0.0009380215778946877,0.014378247782588005,-0.0020407182164490223,0.9998941421508789
