2,1,1,"[1, 2, 4]","[230, 30, 240, 30, 250, 30]"
1,2,2,"[1, 2, 4]","[230, 10, 240, 10, 250, 10]"
2,2,1,"[1, 2, 4]","[230, 20, 240, 20, 250, 20]"
2,1,1,"[1, 2, 4]","[230, 20, 240, 20, 250, 20]"
2,2,2,"[1, 2, 4]","[230, 20, 240, 20, 250, 20]"
1,2,2,"[1, 2, 4]","[230, 20, 240, 20, 250, 20]"
2,2,2,"[1, 2, 4]","[230, 20, 240, 20, 250, 20]"
2,1,2,"[1, 2, 4]","[230, 30, 240, 30, 250, 30]"
1,1,1,"[1, 2, 4]","[200, 30, 210, 10, 250, 30]"
1,1,1,"[1, 2, 4]","[200, 30, 210, 20, 250, 30]"
1,1,1,"[4, 1, 2]","[220, 30, 200, 30, 240, 10]"
2,2,2,"[2, 4, 1]","[240, 30, 220, 30, 200, 30]"
2,1,2,"[4, 2, 1]","[250, 30, 240, 10, 200, 30]"
2,1,1,"[2, 4, 1]","[240, 30, 250, 10, 200, 20]"
2,1,1,"[1, 4, 2]","[230, 10, 220, 20, 240, 30]"
1,2,2,"[1, 4, 2]","[200, 10, 250, 20, 210, 20]"
2,1,2,"[4, 1, 2]","[220, 30, 200, 10, 210, 30]"
2,2,2,"[1, 4, 2]","[230, 20, 250, 30, 210, 20]"
2,2,1,"[1, 2, 4]","[230, 10, 240, 10, 250, 10]"
2,2,2,"[1, 2, 4]","[230, 30, 210, 30, 220, 30]"
1,2,1,"[2, 1, 4]","[210, 30, 230, 20, 220, 20]"
2,1,1,"[4, 2, 1]","[250, 10, 240, 20, 230, 20]"
1,2,2,"[1, 2, 4]","[200, 20, 240, 10, 250, 10]"
2,1,1,"[2, 4, 1]","[210, 20, 250, 20, 230, 10]"
2,1,1,"[4, 1, 2]","[250, 20, 230, 20, 210, 30]"
2,2,2,"[4, 1, 2]","[250, 10, 230, 30, 240, 10]"
2,2,1,"[1, 2, 4]","[230, 20, 240, 20, 250, 30]"
1,2,1,"[2, 4, 1]","[240, 10, 220, 10, 200, 20]"
1,1,2,"[4, 1, 2]","[220, 20, 230, 20, 210, 10]"
1,2,2,"[4, 1, 2]","[220, 30, 200, 10, 240, 20]"
1,1,2,"[1, 2, 4]","[230, 20, 210, 30, 250, 30]"
1,1,1,"[2, 1, 4]","[210, 30, 200, 30, 220, 10]"
1,1,2,"[1, 4, 2]","[200, 30, 220, 10, 210, 10]"
1,1,1,"[4, 2, 1]","[250, 20, 210, 20, 230, 10]"
1,2,1,"[2, 4, 1]","[210, 30, 220, 10, 200, 20]"
1,1,2,"[1, 4, 2]","[230, 20, 220, 30, 240, 30]"
2,1,1,"[2, 1, 4]","[210, 30, 230, 30, 250, 20]"
1,2,1,"[2, 4, 1]","[210, 10, 250, 20, 200, 30]"
2,1,2,"[4, 2, 1]","[250, 20, 240, 20, 200, 20]"
2,2,2,"[4, 2, 1]","[250, 30, 240, 30, 230, 20]"
2,1,2,"[2, 1, 4]","[210, 30, 230, 10, 250, 10]"
