12.4083006,[-0.45653793  0.16289821 -1.38317943],[-0.91674155  0.28988016 -0.63887948]
12.4165821,[-0.45640847  0.16307205 -1.38245404],[-0.91686857  0.28998968 -0.63905126]
12.4235706,[-0.45631322  0.16313635 -1.38210511],[-0.91692632  0.2900438  -0.63912481]
12.4316295,[-0.45614302  0.16325082 -1.38141894],[-0.91704291  0.29014176 -0.63927591]
12.4396282,[-0.45593178  0.16333246 -1.38072264],[-0.91714942  0.29025573 -0.63943309]
12.4468638,[-0.45569459  0.16335432 -1.38008678],[-0.91723818  0.29035693 -0.63958973]
12.4540298,[-0.45543405  0.16342323 -1.37938106],[-0.91732657  0.2904624  -0.63972086]
12.4624217,[-0.45518032  0.16342922 -1.37876046],[-0.91741759  0.29056051 -0.6398204 ]
12.4692337,[-0.45507285  0.16336969 -1.37852013],[-0.91746032  0.29062304 -0.63987368]
12.4775192,[-0.45478657  0.16331872 -1.37793493],[-0.91754907  0.29076749 -0.63995981]
12.4853978,[-0.45448574  0.16327594 -1.37733376],[-0.91764855  0.29095924 -0.64007318]
12.4925978,[-0.45417979  0.16323508 -1.37677073],[-0.91777498  0.29119745 -0.64017969]
12.5002849,[-0.45384479  0.16316496 -1.3762387 ],[-0.91789722  0.29149815 -0.64031518]
12.5083941,[-0.45350778  0.16307779 -1.37572193],[-0.91802871  0.29186022 -0.64047015]
12.5162647,[-0.45315555  0.16301639 -1.37523079],[-0.91817868  0.2922689  -0.64063209]
12.5233256,[-0.45297441  0.16297746 -1.3749975 ],[-0.91827542  0.29247668 -0.64071238]
12.5312755,[-0.45261696  0.16290261 -1.3745209 ],[-0.91848963  0.29292765 -0.64088649]
12.5397614,[-0.45224416  0.16281465 -1.3740412 ],[-0.91872215  0.29344991 -0.64106554]
12.5467399,[-0.45189944  0.16272782 -1.37360156],[-0.91903329  0.29408121 -0.64127237]
12.5540416,[-0.45157197  0.16265474 -1.37317777],[-0.91941231  0.29478428 -0.64146   ]
