9.4451747,[-0.44038299  0.14967218 -1.25734544],[-0.99880666  0.37680802 -0.64760053]
9.4530168,[-0.4404763  0.1496679 -1.2574538],[-0.99875349  0.37689024 -0.64764422]
9.4599102,[-0.44052473  0.14967443 -1.25750721],[-0.998725    0.37693706 -0.64766693]
9.4680487,[-0.44060788  0.14969026 -1.25760937],[-0.99868077  0.37706241 -0.64771819]
9.4755138,[-0.44068655  0.1497031  -1.25770497],[-0.99862778  0.37721273 -0.64777768]
9.4823566,[-0.44074219  0.14972545 -1.25779164],[-0.99856061  0.37741002 -0.64782912]
9.4890264,[-0.44076678  0.14974046 -1.25783682],[-0.99853075  0.3775135  -0.64786363]
9.4968878,[-0.44080701  0.14978325 -1.25792277],[-0.99846113  0.37775484 -0.64791018]
9.5041291,[-0.44083399  0.14983448 -1.25802183],[-0.99840832  0.37803194 -0.64795601]
9.5120424,[-0.44085702  0.14988962 -1.25810766],[-0.99836648  0.37834105 -0.6480304 ]
9.5197214,[-0.44088814  0.14993207 -1.25819361],[-0.99833918  0.37869298 -0.64809144]
9.5265869,[-0.44090709  0.14995348 -1.25822937],[-0.99833149  0.3788681  -0.64811903]
9.5344053,[-0.44094494  0.1499996  -1.25830913],[-0.99830538  0.37922794 -0.6481626 ]
9.5415771,[-0.44097885  0.15005118 -1.2583797 ],[-0.99828863  0.37962151 -0.64820981]
9.548827,[-0.44101509  0.15011506 -1.25844574],[-0.99827647  0.38004041 -0.64825761]
9.5557013,[-0.44103974  0.15013617 -1.25846899],[-0.99827778  0.38027063 -0.64828259]
9.5635952,[-0.4410679   0.15018776 -1.25852287],[-0.99830908  0.38071701 -0.64834183]
9.5708243,[-0.44108981  0.15025525 -1.25857139],[-0.99835998  0.38113984 -0.64838612]
9.5779503,[-0.44110176  0.150328   -1.2586    ],[-0.99842787  0.38156384 -0.64839894]
9.5848883,[-0.44110799  0.15036434 -1.25861239],[-0.99846429  0.38177672 -0.64840984]
9.5928248,[-0.44110838  0.15045397 -1.25863457],[-0.998555    0.38220721 -0.64842463]
9.5999104,[-0.44111225  0.15055358 -1.25865197],[-0.99867409  0.38264963 -0.64842665]
9.6070821,[-0.44113439  0.15065463 -1.2586714 ],[-0.99881476  0.38308895 -0.64839935]
