5.8378489,[-0.80400699  0.47272572 -0.43756968],[-0.18225244 -0.04196234 -0.39213741]
5.8454236,[-0.80366725  0.47307131 -0.43757716],[-0.18225244 -0.04196234 -0.39213741]
5.8530502,[-0.80332136  0.47344595 -0.43755692],[-0.18225244 -0.04196234 -0.39213741]
5.8611621,[-0.80299753  0.4738313  -0.43755949],[-0.18225244 -0.04196234 -0.39213741]
5.8682963,[-0.80284822  0.47403616 -0.43756863],[-0.18225244 -0.04196234 -0.39213741]
5.876314,[-0.80252206  0.47448805 -0.43757108],[-0.18225244 -0.04196234 -0.39213741]
5.8832731,[-0.80220068  0.47493961 -0.43760401],[-0.18225244 -0.04196234 -0.39213741]
5.8911392,[-0.80188322  0.47542506 -0.43766177],[-0.18225244 -0.04196234 -0.39213741]
5.8988548,[-0.80157048  0.47596163 -0.43771708],[-0.18225244 -0.04196234 -0.39213741]
5.9055567,[-0.8014096   0.47625661 -0.43774489],[-0.18225244 -0.04196234 -0.39213741]
5.913877,[-0.8010928   0.47685358 -0.43785912],[-0.18225244 -0.04196234 -0.39213741]
5.9217476,[-0.80079693  0.47745571 -0.43794364],[-0.18225244 -0.04196234 -0.39213741]
5.9303594,[-0.80049825  0.47805065 -0.43797076],[-0.18225244 -0.04196234 -0.39213741]
5.937402,[-0.80022317  0.47862107 -0.43800205],[-0.18225244 -0.04196234 -0.39213741]
5.9447151,[-0.79998595  0.47923124 -0.43804917],[-0.18225244 -0.04196234 -0.39213741]
5.9514475,[-0.79986721  0.47955722 -0.43806407],[-0.18225244 -0.04196234 -0.39213741]
5.9593427,[-0.79963899  0.48019752 -0.43807042],[-0.18225244 -0.04196234 -0.39213741]
5.966598,[-0.79943657  0.48084432 -0.43809775],[-0.18225244 -0.04196234 -0.39213741]
5.9743459,[-0.79925805  0.48156285 -0.438113  ],[-0.18225244 -0.04196234 -0.39213741]
5.9822361,[-0.79911602  0.48231736 -0.43815643],[-0.18225244 -0.04196234 -0.39213741]
5.9906689,[-0.7989831   0.48308176 -0.43821621],[-0.18225244 -0.04196234 -0.39213741]
5.9977244,[-0.79893368  0.48350835 -0.43825123],[-0.18225244 -0.04196234 -0.39213741]
6.00586,[-0.79884744  0.48436442 -0.43831423],[-0.18225244 -0.04196234 -0.39213741]
6.0141057,[-0.79876673  0.48520282 -0.43838027],[-0.18225244 -0.04196234 -0.39213741]
6.02385,[-0.79869765  0.48653048 -0.43847281],[-0.18225244 -0.04196234 -0.39213741]
6.0310198,[-0.79869127  0.48696464 -0.43847737],[-0.18225244 -0.04196234 -0.39213741]
6.0389362,[-0.79868788  0.48786178 -0.43849695],[-0.18225244 -0.04196234 -0.39213741]
6.0469623,[-0.79866338  0.48878908 -0.4384917 ],[-0.18225244 -0.04196234 -0.39213741]
6.0540141,[-0.79868865  0.48976138 -0.43850818],[-0.18225244 -0.04196234 -0.39213741]
6.0613819,[-0.7986933   0.49075198 -0.43850717],[-0.18249324 -0.04302156 -0.3926686 ]
6.0686168,[-0.79869801  0.49125892 -0.43850079],[-0.18249455 -0.04307853 -0.39264432]
6.0760774,[-0.7986694   0.49223661 -0.43849885],[-0.18253873 -0.0431499  -0.39259735]
6.083208,[-0.7986716   0.49328652 -0.43849248],[-0.18264002 -0.04316411 -0.39262497]
6.0905399,[-0.79868817  0.49435818 -0.43845379],[-0.18259859 -0.04315089 -0.39261761]
6.097594,[-0.79867375  0.49490276 -0.43844047],[-0.18257964 -0.04314551 -0.39260954]
6.105346,[-0.7986896   0.4959605  -0.43842033],[-0.18253407 -0.04314595 -0.39259568]
6.1123304,[-0.79873341  0.49705142 -0.4384214 ],[-0.18255687 -0.04313482 -0.39256838]
6.1196692,[-0.79878229  0.49816963 -0.43841353],[-0.18255194 -0.04311222 -0.39256606]
6.1266759,[-0.79881442  0.49873808 -0.43842843],[-0.18255301 -0.04310577 -0.39257529]
6.1343128,[-0.79889899  0.49991715 -0.43845114],[-0.1825649  -0.0430904  -0.39259326]
6.1416179,[-0.798962    0.50106639 -0.43850657],[-0.18257976 -0.04311133 -0.39258114]
6.148835,[-0.79903722  0.50223047 -0.43858176],[-0.18256621 -0.04314369 -0.39255562]
6.1571668,[-0.79911751  0.50335413 -0.43865412],[-0.18254481 -0.04313621 -0.39253512]
6.1639614,[-0.79917115  0.5039078  -0.4386788 ],[-0.18254536 -0.0431251  -0.39253104]
6.1719677,[-0.79928136  0.5050053  -0.43875962],[-0.18252818 -0.0431023  -0.3925637 ]
6.1790146,[-0.79938936  0.50602341 -0.43885693],[-0.18252179 -0.04307918 -0.39258528]
6.1863967,[-0.79950303  0.50701106 -0.43898353],[-0.18254761 -0.04310555 -0.39259654]
6.1931211,[-0.79955333  0.50750524 -0.43906087],[-0.1825546  -0.0431334  -0.39260495]
6.2012206,[-0.79968095  0.50847447 -0.43922243],[-0.18257742 -0.04317747 -0.39261997]
6.2087099,[-0.79980969  0.50934476 -0.43935296],[-0.18258266 -0.04320218 -0.39265496]
6.2155334,[-0.79995775  0.51024508 -0.43952078],[-0.18262254 -0.04319264 -0.39268804]
6.2242358,[-0.80011231  0.51101089 -0.43964908],[-0.18258247 -0.04319088 -0.39271069]
6.232309,[-0.8002969   0.51175302 -0.43974796],[-0.18246973 -0.04325732 -0.39268076]
6.2404427,[-0.80052406  0.51248729 -0.43983549],[-0.18245183 -0.0432608  -0.39262891]
6.2473763,[-0.80064309  0.51283532 -0.43987375],[-0.18245767 -0.04323864 -0.39261889]
6.2556625,[-0.8008824   0.51352364 -0.43994516],[-0.18240748 -0.04322435 -0.39254695]
6.2635125,[-0.80113024  0.51420581 -0.43999392],[-0.18241531 -0.04314402 -0.3925432 ]
6.2706722,[-0.80135125  0.51491934 -0.44001359],[-0.18242277 -0.04311292 -0.39253908]
6.2780566,[-0.80157214  0.51563174 -0.44001731],[-0.18245617 -0.04315564 -0.39257902]
6.2866168,[-0.80182135  0.51645803 -0.44002324],[-0.18248503 -0.04326571 -0.39287072]
6.2935643,[-0.80196476  0.51690227 -0.44000027],[-0.18240075 -0.04317826 -0.3928943 ]
6.3018638,[-0.80222934  0.51779914 -0.4399558 ],[-0.18238503 -0.04311108 -0.39288896]
6.3093912,[-0.80252105  0.51882464 -0.43985754],[-0.18239872 -0.04282053 -0.3926124 ]
6.3164774,[-0.80288064  0.51998311 -0.43970701],[-0.18241972 -0.04294285 -0.39258114]
6.3238921,[-0.80322099  0.52127236 -0.43958989],[-0.18243863 -0.04303817 -0.39258608]
6.3310689,[-0.80339766  0.52198946 -0.43952921],[-0.18244393 -0.04305195 -0.39259398]
