1,2,2,"[2, 4, 1]","[210, 2, 250, 3, 230, 2]"
1,1,2,"[4, 1, 2]","[250, 2, 200, 2, 240, 2]"
1,2,1,"[2, 4, 1]","[210, 1, 250, 1, 230, 3]"
1,2,1,"[4, 2, 1]","[250, 3, 210, 3, 230, 2]"
2,2,2,"[4, 2, 1]","[220, 3, 240, 1, 200, 2]"
2,1,1,"[2, 1, 4]","[240, 2, 230, 3, 220, 2]"
2,2,1,"[2, 4, 1]","[210, 1, 250, 2, 230, 2]"
2,2,2,"[1, 4, 2]","[200, 1, 250, 1, 210, 1]"
2,2,2,"[1, 2, 4]","[200, 1, 210, 2, 220, 3]"
2,2,1,"[1, 2, 4]","[200, 1, 210, 3, 220, 2]"
1,1,1,"[1, 2, 4]","[200, 2, 210, 3, 220, 2]"
1,1,2,"[1, 4, 2]","[200, 2, 250, 1, 210, 3]"
1,2,1,"[1, 4, 2]","[230, 3, 220, 1, 240, 2]"
